SpinId,TotalBet,TotalWin,IsBonus,RunningRtp,WinCount
57683,20,0,False,0.42711717490421786,0
57684,20,10,False,0.42711843838846125,2
57685,20,4,False,0.4271145011701482,2
57686,20,0,False,0.42710709704261,0
57687,20,2,True,0.42710142666458645,0
57688,20,0,False,0.4270940230203855,0
57689,20,0,False,0.42708661963285893,0
57690,20,0,False,0.42707921650199343,0
57691,20,13,False,0.4270830805498258,4
57692,20,0,False,0.42707567773694793,0
57693,20,0,False,0.42706827518069784,0
57694,20,0,False,0.42706087288106215,0
57695,20,8,False,0.42706040384782046,2
57696,20,12,False,0.4270634012756517,2
57697,20,0,False,0.4270559994453784,0
57698,20,0,False,0.42704859787167665,0
57699,20,0,False,0.427041196554533,0
57700,20,0,False,0.42703379549393417,0
57701,20,0,False,0.42702639468986675,0
57702,20,0,False,0.4270189941423174,0
57703,20,0,False,0.4270115938512729,0
57704,20,24,False,0.42702498960210733,4
57705,20,0,False,0.4270175894636513,0
57706,20,6,False,0.4270153883478321,2
57707,20,5,False,0.4270123208622871,1
57708,20,4,False,0.4270083870520552,1
57709,20,11,False,0.42701051829004144,2
57710,20,14,False,0.4270152486570785,4
57711,20,4,False,0.42701131500060646,2
57712,20,0,False,0.42700391599667314,0
57713,20,0,False,0.4269965172491466,0
57714,20,0,False,0.42698911875801365,0
57715,20,0,False,0.42698172052326083,0
57716,20,0,False,0.4269743225448749,0
57717,20,3,False,0.42696952371051855,2
57718,20,0,False,0.426962126199799,0
57719,20,0,False,0.4269547289454079,0
57720,20,0,False,0.4269473319473319,0
57721,20,44,False,0.42697804958334057,3
57722,20,0,False,0.42697065243754545,0
57723,20,0,False,0.4269632555480484,0
57724,20,0,False,0.4269558589148361,0
57725,20,0,False,0.4269484625378952,0
57726,20,8,False,0.4269479957038423,3
57727,20,80,False,0.42700989138531364,8
57728,20,0,False,0.42700249445676275,0
57729,20,6,False,0.42700029447937776,3
57730,20,4,False,0.4269963623765806,1
57731,20,0,False,0.4269889660667579,0
57732,20,0,False,0.4269815700131643,0
57733,20,6,False,0.4269793705506383,2
57734,20,2,True,0.4269737070010739,0
57735,20,3,False,0.42696890967350826,1
57736,20,0,False,0.4269615144797007,0
57737,20,0,False,0.4269541195420614,0
57738,20,0,False,0.4269467248605771,0
57739,20,0,False,0.4269393304352344,0
57740,20,0,False,0.4269319362660201,0
57741,20,0,False,0.4269245423529208,0
57742,20,79,False,0.42698555644071906,4
57743,20,0,False,0.4269781618551166,0
57744,20,0,False,0.42697076752563035,0
57745,20,13,False,0.4269746298380812,3
57746,20,50,False,0.4270105288678004,6
57747,20,38,False,0.4270360365040608,15
57748,20,0,False,0.4270286416845605,0
57749,20,0,False,0.4270212471211623,0
57750,20,0,False,0.4270138528138528,0
57751,20,0,False,0.42700645876261883,0
57752,20,0,False,0.426999064967447,0
57753,20,0,False,0.42699167142832406,0
57754,20,10,False,0.42699293555424733,2
57755,20,0,False,0.42698554237728337,0
57756,20,0,False,0.42697814945633356,0
57757,20,0,False,0.4269707567913846,0
57758,20,84,False,0.4270360815817722,5
57759,20,8,False,0.4270356134974636,2
57760,20,0,False,0.42702822022160664,0
57761,20,95,False,0.427103062620107,2
57762,20,0,False,0.4270956684325335,0
57763,20,0,False,0.42708827450097814,0
57764,20,62,False,0.42713454746901186,2
57765,20,0,False,0.4271271531204016,0
57766,20,0,False,0.4271197590278018,0
57767,20,0,False,0.4271123651911991,0
57768,20,9,False,0.4271127613903891,3
57769,20,12,False,0.42711575412418423,2
57770,20,4,False,0.4271118227453696,2
57771,20,0,False,0.42710442955808275,0
57772,20,0,False,0.4270970366267396,0
57773,20,0,False,0.42708964395132676,0
57774,20,0,False,0.42708225153183094,0
57775,20,0,False,0.42707485936823886,0
57776,20,6,False,0.4270726599279978,2
57777,20,33,False,0.4270938262630459,7
57778,20,11,False,0.427095953477102,3
57779,20,32,False,0.4271162533100261,4
57780,20,35,False,0.4271391484942887,7
57781,20,6,False,0.4271369481317388,2
57782,20,0,False,0.4271295559170676,0
57783,20,0,False,0.42712216395825764,0
57784,20,0,False,0.4271147722552956,0
57785,20,0,False,0.42710738080816824,0
57786,20,12,False,0.4271103727546465,3
57787,20,0,False,0.4271029816394691,0
57788,20,0,False,0.42709559078009274,0
57789,20,2,False,0.4270899306096316,1
57790,20,0,False,0.42708254023187403,0
57791,20,6,False,0.4270803412296032,3
57792,20,0,False,0.4270729512735327,0
57793,20,0,False,0.4270655615732009,0
57794,20,4,False,0.4270616326954355,2
57795,20,0,False,0.4270542434466649,0
57796,20,8,False,0.42705377534777494,2
57797,20,15,False,0.4270593629427133,1
57798,20,0,False,0.42705197411675144,0
57799,20,0,False,0.42704458554646274,0
57800,20,0,False,0.4270371972318339,0
57801,20,0,False,0.42702980917285166,0
57802,20,38,False,0.427055292204422,6
57803,20,3,False,0.4270504991090428,1
57804,20,0,False,0.4270431112033769,0
57805,20,7,False,0.4270417783928726,2
57806,20,0,False,0.42703439089367884,0
57807,20,0,False,0.42702700365007695,0
57808,20,13,False,0.42703086078051483,3
57809,20,6,False,0.42702866335691675,3
57810,20,43,False,0.4270584673931846,2
57811,20,0,False,0.42705108024424415,0
57812,20,2,True,0.4270454230955511,0
57813,20,0,False,0.42703803642779303,0
57814,20,0,False,0.42703065001556717,0
57815,20,0,False,0.42702326385886014,0
57816,20,0,False,0.4270158779576588,0
57817,20,4,False,0.4270119515021533,2
57818,20,10,False,0.42701321387803104,2
57819,20,25,False,0.42702744772479634,2
57820,20,0,False,0.427020062262193,0
57821,20,0,False,0.4270126770550492,0
